,Name,VARC,QA,DI & LR,Overall Percentile
1,IIM Ahmedabad,70,70,70,80
2,IIM Bangaluru,80,75,75,85
3,IIM Calcutta,75,80,80,85
4,IIM Kozhikode,75,60,60,85
5,IIM Lucknow,85,85,85,90
6,IIM Udaipur,80,80,80,90
7,IIM Indore,80,80,80,90
8,IIM Nagpur,72,72,72,85
9,IIM Visakhapatnam,85,80,80,85
10,IIM Kashipur,70,70,70,93
11,IIM Raipur,70,70,70,93
12,IIM Ranchi,80,80,80,94
13,IIM Srimaur,80,80,80,94
14,IIM Amristar,80,75,75,85
15,IIM Sambalpur,75,75,80,85
16,IIM Rohtak,80,80,80,90
17,IIM Trichy,70,70,70,93
18,IIM Jammu,70,70,70,93
